"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"TECPR2",1.22793686233111e-44,-0.63775387843705,0.237,0.319,4.49314377295575e-40
"PTGR2",1.37848010962977e-44,-1.20202713348955,0.052,0.102,5.04399656914629e-40
"GCC2-AS1",1.47088131222466e-44,-0.832753313655691,0.118,0.188,5.38210180956125e-40
"ZNF69",1.61281144559162e-44,-1.09154545296451,0.07,0.127,5.90143836056428e-40
"ZMYM1",1.7122086808377e-44,-0.586174870827683,0.272,0.356,6.26514278405324e-40
"CROT",1.75516347095371e-44,-1.2091000915603,0.056,0.108,6.42231865656674e-40
"LSM5",1.85782928673069e-44,-0.340852831396049,0.409,0.511,6.79798314307626e-40
"TTF2",1.85885475517333e-44,-0.695879268508,0.185,0.265,6.80173543465473e-40
"UCHL3",1.97479270951505e-44,0.625953294228975,0.412,0.317,7.22596400338652e-40
"GTF2E2",1.98420371327178e-44,-0.405110945930622,0.454,0.542,7.26039980723276e-40
"EVA1A",2.11799432327823e-44,1.44944246220777,0.109,0.044,7.74995302830739e-40
"DIMT1",2.20493359787906e-44,-0.39534360744014,0.426,0.521,8.06807252799928e-40
"CCL4",2.21773493603347e-44,0.760628094959722,0.588,0.512,8.11491390444005e-40
"HIST1H1C",2.23087495269695e-44,-0.316803697369457,0.485,0.587,8.16299453941341e-40
"SMIM29",2.38505288820029e-44,0.668551327011132,0.335,0.235,8.72714702321367e-40
"SOBP",2.44597457300894e-44,-0.620177232009304,0.188,0.27,8.95006556009701e-40
"AAMDC",2.54698243284517e-44,-0.413537097660805,0.423,0.511,9.31966342002378e-40
"LINC01194",2.62981227120156e-44,-0.525720713054407,0.255,0.345,9.62274608155362e-40
"IL2RB",2.63291308208193e-44,-1.02045521321313,0.059,0.113,9.63409225864599e-40
"PDK3",2.75580362340645e-44,-0.602764639890858,0.168,0.249,1.00837610384066e-39
"RECK",2.83615185363843e-44,0.713883362714046,0.327,0.232,1.03777632476484e-39
"TENT2",3.08745577765273e-44,-0.283407844572712,0.614,0.696,1.12973094360091e-39
"RABL2B",3.36483083388212e-44,-0.827414704216103,0.127,0.198,1.23122525042581e-39
"ARMC8",3.52506606936163e-44,-0.481282656349749,0.358,0.446,1.28985692544011e-39
"SLC38A6",3.78855785047473e-44,0.758785143358355,0.288,0.193,1.38627120306721e-39
"AL390728.6",4.00216336742379e-44,-0.933353744970633,0.111,0.177,1.46443159777404e-39
"H3F3B",4.08834230607839e-44,0.281023896328471,0.993,0.995,1.49596533321714e-39
"CLK4",4.15744707992502e-44,-0.608757298828401,0.232,0.317,1.52125146101537e-39
"KDM1A",4.26765616352294e-44,-0.382124617806344,0.501,0.585,1.56157806679468e-39
"PAX8-AS1",4.28816650081375e-44,0.455688480573729,0.573,0.486,1.56908300431276e-39
"NEAT1",4.75495614397333e-44,0.339120325681519,0.984,0.998,1.73988600264128e-39
"NSDHL",4.79312935234205e-44,-0.948900447509151,0.108,0.174,1.75385396131548e-39
"REPS1",4.89211888517273e-44,-0.569510787786692,0.248,0.335,1.79007522127356e-39
"DMPK",5.02881937987834e-44,-0.650333721575401,0.195,0.277,1.84009529929128e-39
"PNRC2",5.07613476703506e-44,0.356305811017098,0.776,0.721,1.8574084726058e-39
"ENC1",5.08118812983416e-44,-1.0441357604894,0.068,0.124,1.85925754858762e-39
"AAAS",5.62086940461588e-44,-0.831017866627287,0.146,0.218,2.056732323843e-39
"LTV1",5.67112119149318e-44,-0.304879053188074,0.342,0.446,2.07511995517927e-39
"N4BP1",6.98165176054789e-44,-0.422507319108759,0.477,0.558,2.55465619570208e-39
"PIP4P2",7.04085150168147e-44,-0.579076519003751,0.246,0.331,2.57631797298027e-39
"CRLF3",7.04428952166378e-44,-0.49222414351454,0.348,0.436,2.57757597887199e-39
"RSRC2",7.16055739307452e-44,0.484786922872449,0.882,0.853,2.6201195556999e-39
"FHIT",8.60753426916509e-44,1.10362925627538,0.177,0.098,3.1495828644302e-39
"MRPS18B",9.08351311918673e-44,-0.477606464756407,0.361,0.448,3.32374828544161e-39
"PPP4R3A",9.11826763242434e-44,-0.331188018746911,0.554,0.637,3.33646530938039e-39
"ZNF480",9.20976599057443e-44,-0.609103112842277,0.216,0.3,3.36994547361109e-39
"NDUFAF2",9.7206912941814e-44,0.436780967423511,0.668,0.608,3.55689815145391e-39
"IFI44",1.01389707493196e-43,-0.772507485242292,0.078,0.138,3.70995078688352e-39
"KLHL2",1.06543120456994e-43,-0.921496986773333,0.129,0.198,3.89851932064187e-39
"PIK3R1",1.06695973797236e-43,-0.659249707785849,0.198,0.279,3.90411237721468e-39
"ZNF346",1.07695302136099e-43,-0.931617867281469,0.098,0.162,3.940678800462e-39
"PIGC",1.08927240214693e-43,-0.689822225168694,0.199,0.279,3.98575664669582e-39
"TTC26",1.24210957097262e-43,-1.02251643856226,0.086,0.147,4.54500313114593e-39
"TCEAL9",1.29802937311249e-43,0.313495752912743,0.838,0.815,4.74961927915591e-39
"IFT88",1.30440979751584e-43,-0.650345300373446,0.245,0.327,4.7729658900902e-39
"SRP19",1.36889448309526e-43,0.497014217306054,0.655,0.6,5.00892180309387e-39
"HECTD3",1.45049865196901e-43,-0.96947307225373,0.1,0.164,5.30751961741981e-39
