"PC","stdev","var_explained","cumvar","hvg","auto_elbow_pc"
1,15.2958494306651,0.218668164832659,0.218668164832659,5000,10
2,12.141545732649,0.137780044444833,0.356448209277492,5000,10
3,10.848373570252,0.109993652688417,0.466441861965908,5000,10
4,8.3326345374162,0.0648937736078008,0.531335635573709,5000,10
5,7.01798575405426,0.0460323689107328,0.577368004484442,5000,10
6,6.63707020673597,0.0411709780096112,0.618538982494053,5000,10
7,6.06763049444568,0.0344093612777668,0.65294834377182,5000,10
8,6.01216574221426,0.0337831584183908,0.686731502190211,5000,10
9,5.23093219224165,0.0255738751833567,0.712305377373567,5000,10
10,4.97608948977121,0.0231427372503013,0.735448114623869,5000,10
11,4.69072865802202,0.0205645392253461,0.756012653849215,5000,10
12,4.06431137514263,0.0154387560863275,0.771451409935542,5000,10
13,3.94872399305818,0.0145730990813823,0.786024509016925,5000,10
14,3.67302378141204,0.0126091508646569,0.798633659881582,5000,10
15,3.51806108911163,0.0115676492968857,0.810201309178467,5000,10
16,3.47986184520262,0.0113178091176625,0.82151911829613,5000,10
17,3.40104081373734,0.0108109049190825,0.832330023215212,5000,10
18,3.2310649876507,0.00975730199596721,0.842087325211179,5000,10
19,3.0403308921753,0.0086393300363773,0.850726655247557,5000,10
20,2.86978453969922,0.00769727395124022,0.858423929198797,5000,10
21,2.85513395325329,0.00761888358784582,0.866042812786643,5000,10
22,2.78010542572791,0.00722371978801297,0.873266532574656,5000,10
23,2.73047514906905,0.00696810709636234,0.880234639671018,5000,10
24,2.6877474361319,0.00675173320787511,0.886986372878893,5000,10
25,2.56433626298897,0.00614593988839911,0.893132312767292,5000,10
26,2.5462835230196,0.00605971054897251,0.899192023316265,5000,10
27,2.47091344454822,0.00570628456237653,0.904898307878641,5000,10
28,2.43805198166734,0.00555551446105246,0.910453822339694,5000,10
29,2.38367217209878,0.00531045108957342,0.915764273429267,5000,10
30,2.36734823065131,0.00523796573223191,0.921002239161499,5000,10
31,2.32554953989767,0.00505463210419066,0.92605687126569,5000,10
32,2.28492244935621,0.00487956704688441,0.930936438312574,5000,10
33,2.24147799330618,0.00469577543059461,0.935632213743169,5000,10
34,2.22284904345401,0.00461804649230371,0.940250260235473,5000,10
35,2.16844382894969,0.00439475545550018,0.944645015690973,5000,10
36,2.15889907010579,0.00435615213783425,0.949001167828807,5000,10
37,2.15088930437991,0.00432388844163865,0.953325056270446,5000,10
38,2.11436096271685,0.0041782711881164,0.957503327458562,5000,10
39,2.08284520885338,0.00405464047814951,0.961557967936711,5000,10
40,2.03588553076559,0.00387387026394017,0.965431838200652,5000,10
41,2.02658038305877,0.00383853963554789,0.9692703778362,5000,10
42,2.01547077346879,0.00379656963609649,0.973066947472296,5000,10
43,1.96748703957358,0.00361794633678681,0.976684893809083,5000,10
44,1.94383249808331,0.00353147419974461,0.980216368008827,5000,10
45,1.9261440212259,0.0034674952468187,0.983683863255646,5000,10
46,1.89539840577136,0.00335768060813011,0.987041543863776,5000,10
47,1.87883006114451,0.00329923583651697,0.990340779700293,5000,10
48,1.87158581337176,0.00327384300771545,0.993614622708009,5000,10
49,1.85010703500362,0.00319913133411067,0.996813754042119,5000,10
50,1.84637736966091,0.00318624595788062,1,5000,10
