"donor_id","infection","hpi","condition","cell_type","n_cells","EA_release_score","EA_recycle_score","EA_proxy","FLT1_expr","PGF_expr","FLT1_minus_PGF","Angio_stress_score"
"Hrv124","Pf","24h","Pf_24h","EVT_1",13,0.108921902493024,0.183149923728063,0.170639915402011,1.53932151427636,2.49339524599222,-2.60991953806639,0.882558114581056
"Hrv124","Pf","24h","Pf_24h","EVT_2",264,0.0344740322631116,0.146486596243851,-0.239628663546885,2.8221347865959,0.77798584114873,0.571290851044889,1.00695407789733
"Hrv124","Pf","24h","Pf_24h","Endo_f",837,0.151785235900962,0.193626579361007,0.480098356242433,2.24327622854297,1.07082731628361,-0.244790845277504,1.21130171351556
"Hrv124","Pf","24h","Pf_24h","F",2313,0.0874307000981935,0.140165419753527,0.275417396038876,1.51569208421596,0.212422104384082,0.308141795132071,1.24066645774783
"Hrv124","Pf","24h","Pf_24h","F_p",44,0.114877147769386,0.145569528707049,0.482557048995108,1.34258452735164,0.121594095094637,0.29372567904904,1.13800762869514
"Hrv124","Pf","24h","Pf_24h","F_sm",23,0.0561929584845253,0.126815336942673,0.0892625364520867,1.65152737887009,0.240789329228194,0.374678902298143,1.04865382991222
"Hrv124","Pf","24h","Pf_24h","HBC",2611,0.129154669980535,0.207204104675182,0.185070662906387,0.300018216968039,0.078485963240477,-0.441721900245886,1.37320959607566
"Hrv124","Pf","24h","Pf_24h","PAMM1",149,0.116855507128991,0.222210089152291,-0.0278123183177279,0.525921863797527,0.0623434910038174,-0.2495638358291,1.22560155324545
"Hrv124","Pf","24h","Pf_24h","PV",1341,0.0547831016332244,0.164554633687984,-0.183279486532576,2.13627871433183,0.279967125719115,0.692003470528666,1.00906447827486
"Hrv124","Pf","24h","Pf_24h","VCT",93,0.0999327844749856,0.312884742758607,-0.803149310680175,2.05531146321245,1.07070529204543,-0.387231789637344,0.726879468505284
"Hrv124","Pf","24h","Pf_24h","VCT_CCC",94,0.10198458566839,0.269805756369804,-0.488106147225031,2.15637928564498,0.502200572097555,0.421201613535285,0.908639951249568
"Hrv124","Pf","24h","Pf_24h","VCT_fusing",324,0.126896655127605,0.275630426227495,-0.306428574882136,2.53462328283507,1.10328885692137,-0.0655460071249518,0.91748150351344
"Hrv124","Pf","24h","Pf_24h","VCT_p",63,0.0900763788078197,0.225590602722433,-0.289528551835611,1.69889862811755,0.978700089549261,-0.539195790352999,0.678342602445898
"Hrv124","Pf","24h","Pf_24h","iEVT",43,0.087251155095738,0.202897374124028,-0.158347212398942,3.25547703147628,1.68214654229408,-0.263760962224296,1.00009862831067
"Hrv124","UI","24h","UI_24h","EVT_1",6,0.121114195221,0.200897925471266,0.156926245863898,1.83299211661021,2.55588436126709,-2.46756238584829,0.759705935383127
"Hrv124","UI","24h","UI_24h","EVT_2",26,0.0457666815282443,0.153903994422693,-0.190183845473442,3.84444843805753,1.41413764311717,0.528029158286138,0.921572170107738
"Hrv124","UI","24h","UI_24h","Endo_f",323,0.166544177860667,0.224644430849021,0.397819631107311,2.23643580203639,0.835429454481823,0.0530154855905995,0.970904256683873
"Hrv124","UI","24h","UI_24h","F",525,0.124684477166997,0.144999261884462,0.573805080598523,1.57343238362244,0.170069177292642,0.406461208454538,1.01423474022827
"Hrv124","UI","24h","UI_24h","F_p",16,0.10804229346104,0.133824527170509,0.502615388284934,1.46461455151439,0.145170990377665,0.3559554670358,0.996440725401044
"Hrv124","UI","24h","UI_24h","F_sm",4,0.125556269971033,0.18956390991807,0.27455723749882,1.41636304557323,0,0.506208779658913,0.820665470058365
"Hrv124","UI","24h","UI_24h","HBC",684,0.143735272049192,0.263345337018632,-0.0718731216607391,0.218759736144229,0.0694423644580165,-0.491727416570516,1.17780324142137
