"infection","hpi","cor_glyco_innate","cor_adh_innate","n_samples"
"Lm","24h",0.17055247392311,-0.0940108000937552,3
"Lm","48h",1,1,2
"Pf","24h",0.0133741462081028,-0.403857721611556,4
"Pf","48h",1,-1,2
"Tg","24h",0.676135476578936,0.904556740427794,4
"Tg","48h",0.351388085865536,-0.113415870733191,4
"UI","24h",0.481418297014044,0.368955075873009,10
"UI","48h",0.574478220645415,-0.29122384000148,7
